Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,FVG_Size,FVG_Type_Encoded,OB_Type_Encoded,Recovery_Type_Encoded,Close_lag1,Close_lag2,Close_lag3
2000-12-29,-2.1703723965018433,-2.171291320217252,-2.168808030912083,-2.170255654600516,-0.1895747492650999,-2.168332889196216,-2.1711878348174727,-2.1689826064718147,-2.170390614914735,-0.09199897774860884,-0.14203700217905774,-0.15861444530116406,0.015544386454974175,-2.180882259441815,-2.168332889196216,-2.149818446548294,0.11122192087478458,0,2,0,-2.171329135597495,-2.1623136846751914,-2.1653530843988755
2001-01-02,-2.1798058265255817,-2.180667383657807,-2.1783073485936,-2.1796890803953435,-0.1895747492650999,-2.1683723241620347,-2.1712881843348573,-2.1704861870797623,-2.170876798803204,-0.8033547857664756,-0.17848461212925157,-0.16477206926745144,-0.07625282743959637,-2.180806242025682,-2.1683723241620347,-2.1499796399402173,0.2277674488493029,0,2,2,-2.1705429028415595,-2.1714884257905975,-2.1624690628376277
2001-01-03,-2.1808539676464327,-2.1817091508219266,-2.1793628104411957,-2.180737221046323,-0.18953740550450057,-2.1687272187979683,-2.171399097637991,-2.1719200659698963,-2.1714049786081464,-0.8713795873686646,-0.21093917470313864,-0.176690468394656,-0.1401485883965768,-2.18045451578269,-2.1687272187979683,-2.151079475404292,-0.25507563816445444,0,2,0,-2.179978095827722,-2.1707020514082345,-2.171645444161428
2001-01-04,-2.182688274583952,-2.1835323029704408,-2.1812099290694213,-2.1825715271615413,-0.18953740550450057,-2.169134689377039,-2.1716050801774425,-2.173416189513225,-2.1720305551381265,-0.9919559484610349,-0.24214455154657927,-0.1929483519533908,-0.18828007281810258,-2.179979094081931,-2.169134689377039,-2.1524178047583886,-0.43822441768407394,2,2,0,-2.1810264328299653,-2.1801389439835597,-2.1708589291954947
2001-01-05,-2.1808539676464327,-2.1817091508219266,-2.1793628104411957,-2.180737221046323,-0.1895747492650999,-2.1699627715124996,-2.1717159934805763,-2.1743992987982113,-2.1724732715108526,-0.8210355283311783,-0.2615201561531241,-0.2101291115878415,-0.1985161725581014,-2.180852899608304,-2.1699627715124996,-2.153195615825909,-0.3216738085948513,1,2,0,-2.182861082571131,-2.1811874698258418,-2.1802975088451713
2001-01-08,-2.1808539676464327,-2.1817091508219266,-2.1793628104411957,-2.180737221046323,-0.1895747492650999,-2.170646270807153,-2.17182690678371,-2.1752311605008914,-2.172883194078192,-0.8210355283311783,-0.2766543403960829,-0.22713436271179663,-0.19656951615869545,-2.1814221748650136,-2.170646270807153,-2.153998011967725,-0.35497543436740187,0,2,0,-2.1810264328299653,-2.1830224500478805,-2.181346222136981
2001-01-09,-2.182164164039506,-2.1830113796475112,-2.1806821578823348,-2.1820474168520487,-0.1895747492650999,-2.1712640491700625,-2.1717582470117645,-2.176137069532402,-2.173360265421152,-0.9225763315236323,-0.2920413143087396,-0.24405367028477312,-0.19561627142413615,-2.181680273823005,-2.1712640491700625,-2.154993912835224,0.11121683976008019,0,2,0,-2.1810264328299653,-2.1811874698258418,-2.183181530406419
2001-01-10,-2.189501231853502,-2.1903038292780876,-2.188070471342083,-2.189384481376911,-0.1895747492650999,-2.1719869794192475,-2.171768809185706,-2.1780349489043895,-2.1743480708627545,-1.418807968241513,-0.32469312324617033,-0.2646239128102808,-0.23611069456688522,-2.1808182119736124,-2.1719869794192475,-2.157387966762885,0.14451846553263079,0,2,0,-2.182336874078516,-2.1811874698258418,-2.181346222136981
2001-01-11,-2.1913355387910216,-2.1921269814266013,-2.1899175899703085,-2.19121878749213,-0.1895747492650999,-2.172815061554709,-2.171789935145396,-2.179923688240056,-2.1753992266859377,-1.5259836355112397,-0.354756696544889,-0.2875572707647371,-0.2623212399091575,-2.1800235395760836,-2.172815061554709,-2.1599267734244263,-0.30502299570857594,0,2,0,-2.189675313077206,-2.1824981471280425,-2.181346222136981
2001-01-12,-2.1915975940632446,-2.1923874430880663,-2.190181475563852,-2.191480842646876,-0.1895747492650999,-2.173432839917618,-2.1718110611050867,-2.181562259969915,-2.176392022987208,-1.5416796943665732,-0.37795182834125496,-0.3109013228647087,-0.26687646281150296,-2.1792994890372377,-2.173432839917618,-2.161959284313444,-0.3216738085948513,0,2,0,-2.1915099628183716,-2.18983790802141,-2.1826571337546663
